Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C4, C5, C6, C7, C8, C9",0805,37,0.1uF,
D1,LED_D3.0mm,1,Osc FX LED,
D2,LED_D3.0mm,1,Unison LED,
D3,LED_D3.0mm,1,Tempo LED,
D4,LED_D3.0mm,1,Retrig LED,
D5,D_SOD-323F,1,1N4148WS,
ENC1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,Recall,
"G1, G2",TSynth PCB Logo 41mm,2,Logo,
J1,Jack_3.5mm_Ledino_KB3SPRS_Horizontal,1,3.5mm Jack,
J2,PinHeader_1x03_P2.54mm_Vertical,1,To Audio Board,
J3,USB_A_Stewart_SS-52100-001_Horizontal,1,USB Host,
J4,USB_B_OST_USB-B1HSxx_Horizontal,1,USB Client,
J5,Jack_6.35mm_Neutrik_NMJ6HFD2_Horizontal,1,"1/4"" Jack",
J6,PinHeader_1x08_P2.54mm_Vertical,1,SPI Display,
J7,MIDI_DIN5,1,MIDI In,
J8,MIDI_DIN5,1,MIDI Out/Thru,
R10,0805,1,10R,
R11,0805,1,33R,
R12,0805,1,100R,
"R3, R4, R6, R8",0805,4,1k5,
R7,0805,1,220R,
R9,0805,1,4k7,
RV1,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Noise,
RV10,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,PWM Rate,
RV11,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Osc2 Pitch,
RV12,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Osc2 Waveform,
RV13,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Osc2 PWM Amt,
RV14,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Osc1 Pitch,
RV15,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Osc1 Waveform,
RV16,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Osc1 PWM Amt,
RV17,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Release Amp,
RV18,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Sustain Amp,
RV19,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Decay Amp,
RV2,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Pitch LFO Rate,
RV20,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Attack Amp,
RV21,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Filter LFO Amt,
RV22,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,FX Mix,
RV23,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,FX Amt,
RV24,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Glide,
RV25,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Filter LFO Wave,
RV26,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Filter LFO Rate,
RV27,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Cutoff,
RV28,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Resonance,
RV29,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Filter Type,
RV3,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Pitch LFO Wave,
RV30,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Sustain Filter,
RV31,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Release Filter,
RV32,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Filter Env Amt,
RV33,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Volume,
RV4,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Pitch LFO Amt,
RV5,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Detune,
RV6,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Osc Mix,
RV7,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Attack Filter,
RV8,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Decay Filter,
RV9,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,Pitch Env Mod,
SW1,SW_PUSH-12mm,1,Osc FX,
SW2,SW_PUSH-12mm,1,Unison,
SW3,SW_PUSH-12mm,1,Tempo,
SW4,SW_PUSH-12mm,1,Retrig,
SW5,SW_PUSH-12mm,1,Settings,
SW6,SW_PUSH-12mm,1,Save,
SW7,SW_PUSH-12mm,1,Back,
U1,Teensy41,1,Teensy4.1,
"U2, U3",SOIC-24W_7.5x15.4mm_P1.27mm,2,CD74HC4067M,
U4,SMDIP-8_W9.53mm,1,6N137,
U5,SOIC-14_3.9x8.7mm_P1.27mm,1,74HC04,
