Designator,Mid X,Mid Y,Rotation,Layer
C1,192.174928,-20.669,90.0,top
C10,173.289928,43.655,180.0,top
C11,144.206928,43.655,180.0,top
C12,231.455928,43.909,0.0,top
C13,260.538928,43.782,0.0,top
C14,289.367928,43.401,0.0,top
C15,231.328928,12.286,0.0,top
C16,260.538928,12.286,0.0,top
C17,289.367928,12.159,0.0,top
C18,231.328928,-18.956,0.0,top
C19,260.411928,-18.702,0.0,top
C2,66.724328,-28.6192,90.0,top
C20,86.167928,-49.944,180.0,top
C21,115.377928,-49.817,180.0,top
C22,144.460928,-50.071,180.0,top
C23,173.416928,-50.071,180.0,top
C24,173.289928,-19.083,180.0,top
C25,12.126928,-49.944,180.0,top
C26,40.193928,-49.944,180.0,top
C27,40.193928,-18.829,180.0,top
C28,86.421928,12.667,0.0,top
C29,86.294928,43.528,0.0,top
C3,171.890928,68.1,90.0,top
C30,115.250928,43.528,0.0,top
C31,115.504928,12.667,0.0,top
C32,144.460928,12.794,0.0,top
C33,173.289928,12.286,0.0,top
C34,115.631928,-18.829,0.0,top
C35,12.507928,-19.083,0.0,top
C36,144.333928,-19.083,0.0,top
C37,207.096928,67.208,90.0,top
C4,289.367928,-18.956,180.0,top
C5,231.201928,-49.944,180.0,top
C6,260.538928,-50.198,180.0,top
C7,289.494928,-50.325,180.0,top
C8,202.372928,12.54,180.0,top
C9,202.372928,43.655,180.0,top
D1,202.320928,-6.7,0.0,bottom
D2,202.320928,-37.9,0.0,bottom
D3,91.123928,-5.9746,0.0,bottom
D4,67.475128,-5.9746,0.0,bottom
D5,151.690928,65.7,270.0,top
ENC1,10.290928,34.25,90.0,bottom
G1,274.790928,65.0,0.0,bottom
G2,275.090928,64.8,0.0,top
J1,14.290928,65.1,270.0,top
J2,36.690928,65.86,0.0,top
J3,136.190928,61.705,180.0,top
J4,108.440928,60.705,90.0,top
J5,14.505928,61.95,90.0,top
J6,38.000928,50.1,90.0,bottom
J7,187.490928,64.6493,180.0,top
J8,236.790928,64.7493,180.0,top
R10,202.016928,70.51,180.0,top
R11,202.016928,66.954,0.0,top
R12,47.584928,21.996,0.0,top
R3,206.144928,-2.762,270.0,top
R4,209.954928,-38.703,270.0,top
R6,88.090928,-0.9,270.0,top
R7,151.790928,59.8,270.0,top
R8,64.190928,-0.838,270.0,top
R9,171.790928,60.35,270.0,top
RV1,289.290928,-17.95,90.0,bottom
RV10,231.290928,-18.05,90.0,bottom
RV11,289.290928,13.25,90.0,bottom
RV12,260.290928,13.25,90.0,bottom
RV13,231.290928,13.25,90.0,bottom
RV14,289.290928,44.45,90.0,bottom
RV15,260.290928,44.45,90.0,bottom
RV16,231.290928,44.45,90.0,bottom
RV17,86.290928,-49.05,90.0,bottom
RV18,115.290928,-49.05,90.0,bottom
RV19,144.290928,-49.15,90.0,bottom
RV2,231.290928,-49.15,90.0,bottom
RV20,173.290928,-49.15,90.0,bottom
RV21,173.290928,-18.05,90.0,bottom
RV22,12.190928,-49.05,90.0,bottom
RV23,40.190928,-48.95,90.0,bottom
RV24,40.190928,-17.95,90.0,bottom
RV25,144.290928,-18.05,90.0,bottom
RV26,115.290928,-18.05,90.0,bottom
RV27,173.290928,13.25,90.0,bottom
RV28,144.290928,13.25,90.0,bottom
RV29,115.290928,13.25,90.0,bottom
RV3,260.290928,-49.15,90.0,bottom
RV30,115.290928,44.45,90.0,bottom
RV31,86.290928,44.45,90.0,bottom
RV32,86.290928,13.25,90.0,bottom
RV33,12.190928,-18.05,90.0,bottom
RV4,289.290928,-49.15,90.0,bottom
RV5,202.315928,13.25,90.0,bottom
RV6,202.315928,44.45,90.0,bottom
RV7,173.290928,44.45,90.0,bottom
RV8,144.290928,44.45,90.0,bottom
RV9,260.290928,-17.95,90.0,bottom
SW1,202.325928,-16.496,180.0,bottom
SW2,202.325928,-47.622,180.0,bottom
SW3,91.128928,-15.804,180.0,bottom
SW4,67.328928,-15.904,180.0,bottom
SW5,43.356928,12.055,180.0,bottom
SW6,25.956928,12.055,180.0,bottom
SW7,8.556928,12.055,180.0,bottom
U1,62.390928,41.0,270.0,top
U2,188.790928,-31.65,270.0,top
U3,61.790928,-39.2,270.0,top
U4,161.990928,63.2,0.0,top
U5,204.048928,60.096,270.0,top
